Approve (Y/N),Status,Category,Proposed Title,Suggested Slug,Notes,New Act 2025 Section
,Existing,NRI Taxation,Form 15CA & 15CB (Now 145 & 146): NRI Remittance Compliance Guide,form-15ca-15cb-nri-remittance-guide,,
,Existing,Company Incorporation,OPC to Private Limited Company Conversion: A Founder\'s Guide,opc-to-private-limited-conversion-india,,
,Existing,Company Incorporation,Foreign Subsidiary Registration in India: FDI Route and Compliance Guide,foreign-subsidiary-registration-india-fdi,,
,Existing,FEMA & Compliance,LRS (Liberalised Remittance Scheme): USD 250K Limit & TCS,lrs-liberalised-remittance-scheme-guide,,
,Existing,Company Incorporation,"Annual ROC Filing for Private Limited Companies: AOC-4, MGT-7 and DIR-3 KYC",annual-roc-filing-aoc4-mgt7-dir3-kyc,,
,Existing,Company Incorporation,LLP vs Private Limited Company: Which Structure Fits Your Business?,llp-vs-private-limited-comparison-india,,
,Existing,NRI Taxation,Section 195 TDS on Payments to NRIs: Complete Guide (FY 2026-27),section-195-tds-nri-payments-guide,,
,Existing,NRI Taxation,NRI Selling Property Below Stamp Duty Value: Section 78 (Earlier Section 50C) Explained,nri-property-sale-below-stamp-duty-value-section-50c,,
,Existing,NRI Taxation,26QB vs 27Q: Which TDS Form When Buying Property from an NRI?,26qb-vs-27q-nri-property-tds,,
,Existing,NRI Taxation,NRI Gift & Inheritance Tax: What Is Taxable and What Is Not,nri-gift-inheritance-tax-rules,,
,Existing,NRI Taxation,Aadhaar-PAN Linking for NRIs Who Never Had an Aadhaar Number,aadhaar-pan-linking-nri-without-aadhaar,,
,Existing,NRI Taxation,NRI Residential Status: How the 182-Day and 120-Day Rules Work,nri-residential-status-182-day-rule,,
,Existing,FEMA & Compliance,TCS on Foreign Remittance Under LRS: Rates & Exemptions FY 2026-27,tcs-foreign-remittance-lrs-rates-fy2026-27,,
,Existing,NRI Taxation,"PAN Card for NRIs: Application, Aadhaar Linking & Exemptions",pan-card-nri-application-aadhaar-linking,,
,Existing,NRI Taxation,RNOR Status for Returning NRIs: How Long Does the Tax Holiday Last?,rnor-status-tax-guide-returning-nris,,
,Existing,International Tax,POEM: When Does a Foreign Company Become an Indian Tax Resident?,poem-place-of-effective-management-india,,
,Existing,NRI Taxation,NRE vs NRO Account: FEMA Repatriation Limits Explained,nre-vs-nro-account-fema-repatriation-limits,,
,Existing,NRI Taxation,"ESOP Taxation for NRIs: Exercise, Sale & DTAA Relief",esop-taxation-for-nris-india,,
,Existing,Startup Compliance,"DPIIT Registration for Startups: Eligibility, Process & 80-IAC Tax Benefit (2026)",dpiit-registration-startups-india-80iac,,
,Existing,GST,GST on Exports: Zero-Rated vs Exempt; What Indian Exporters Get Wrong,gst-on-exports-zero-rated-vs-exempt-india,,
,Existing,International Tax,Transfer Pricing Documentation Checklist for Indian Subsidiaries (2026),transfer-pricing-documentation-checklist-india,,
,Existing,NRI Taxation,"TDS on NRI Property Sale in India (FY 2026-27): Rates, Form 27Q & Refund Guide",tds-on-nri-property-sale-india,,
,Existing,NRI Taxation,"Form 13 Lower Deduction Certificate for NRIs: Process, Documents & Timeline",form-13-lower-deduction-certificate-nri,,
,Existing,NRI Taxation,How NRIs Can Claim a TDS Refund on Property Sale in India,nri-tds-refund-property-sale,,
,Existing,NRI Taxation,TAN Application Guide for Buyers Purchasing Property from an NRI,tan-application-guide-buyer-nri-property,,
,Existing,NRI Taxation,Repatriating NRI Property Sale Proceeds: Form 145/146 & USD 1 Million Scheme,nri-repatriation-property-sale-proceeds,,
,Existing,NRI Taxation,Capital Gains Tax for NRIs on Inherited or Gifted Property in India,nri-capital-gains-inherited-gifted-property,,
,Existing,Startup Compliance,FEMA Compliance for Indian Startups Raising Foreign Investment (2026 Guide),fema-compliance-foreign-investment-startups,,
,Existing,International Tax,Dubai Company Registration: Complete Guide for Indian Entrepreneurs (2026),dubai-company-registration-guide,,
,Existing,Corporate Law,How to Incorporate a Company in India: Private Limited vs LLP vs OPC (2026 Guide),company-incorporation-india-guide,,
,Existing,International Tax,UAE Entity Setup: When It Makes Sense (And When It Doesn\'t),uae-entity-setup-when-it-makes-sense,,
,Existing,Tax Reform,Deciphering the New Income Tax Act & Rules 2025,new-income-tax-act-rules-2025,,
,Existing,Tax Planning,Understanding the New Tax Regime (FY 2025-26),understanding-new-tax-regime-2025-26,,
,Existing,Corporate Law,Essential Compliance for Indian Startups,essential-compliance-indian-startups,,
,Existing,International Tax,UAE Corporate Tax: Impact on Indian Businesses,uae-corporate-tax-indian-impact,,
,Existing,International Tax,Navigating International Taxation & DTAA,navigating-international-taxation-dtaa,,
,Existing,Advisory,The Strategic Value of Virtual CFO Services,strategic-value-virtual-cfo-services,,
,Existing,US Cross-Border,"India-US DTAA Guide: Permanent Establishment, Business Profits, and Double Tax Relief",india-us-dtaa-guide,,
,Existing,US Cross-Border,US LLC Annual Compliance Calendar for Non-Resident Founders,us-llc-annual-compliance-calendar-non-resident,,
,Existing,US Cross-Border,US Sales Tax Economic Nexus for Indian SaaS and Services Companies,us-sales-tax-nexus-indian-saas-companies,,
,Existing,US Cross-Border,Form 5471 vs 5472 vs 8858: Which One Applies to Your Foreign-Owned US Entity,form-5471-5472-8858-foreign-owned-us-entity,,
,Existing,US Cross-Border,FBAR and FATCA for Indian Founders with a US LLC: What Must Be Disclosed,fbar-fatca-us-llc-indian-founders,,
,Existing,US Cross-Border,Delaware or Wyoming Incorporation for Indian Founders: EIN and ITIN Explained,delaware-wyoming-incorporation-ein-itin-guide,,
,Existing,US Cross-Border,US LLC vs C-Corp for Indian Founders: Which Structure Fits Your Startup,us-llc-vs-c-corp-indian-founders,,
Y,New,GST,GST Registration Process in India: Complete Guide for New Businesses,gst-registration-process-in-india-complete-guide-for-new-businesses,"General guide, distinct from existing startup-specific GST registration post",
Y,New,GST,"GST Composition Scheme: Eligibility, Rates & When to Opt In",gst-composition-scheme-eligibility-rates-and-when-to-opt-in,,
Y,New,GST,GSTR-1 vs GSTR-3B: Filing Guide & Common Mistakes,gstr-1-vs-gstr-3b-filing-guide-and-common-mistakes,,
Y,New,GST,GSTR-9 & GSTR-9C: Annual Return and Reconciliation Guide,gstr-9-and-gstr-9c-annual-return-and-reconciliation-guide,,
Y,New,GST,"Input Tax Credit (ITC) Under GST: Eligibility, Reversal & Blocked Credits",input-tax-credit-itc-under-gst-eligibility-reversal-and-blocked-credit,,
Y,New,GST,Reverse Charge Mechanism (RCM) Under GST: When It Applies,reverse-charge-mechanism-rcm-under-gst-when-it-applies,,
Y,New,GST,"E-Way Bill Rules: When Required, Validity & Penalties",e-way-bill-rules-when-required-validity-and-penalties,,
Y,New,GST,E-Invoicing Under GST: Applicability Threshold & Process,e-invoicing-under-gst-applicability-threshold-and-process,,
Y,New,GST,GST on Real Estate: Under-Construction vs Ready-to-Move Properties,gst-on-real-estate-under-construction-vs-ready-to-move-properties,,
Y,New,GST,GST on Works Contract Services: Rate & ITC Rules,gst-on-works-contract-services-rate-and-itc-rules,,
Y,New,GST,GST for E-Commerce Sellers: TCS Under Section 52 & Registration,gst-for-e-commerce-sellers-tcs-under-section-52-and-registration,,
Y,New,GST,GST Late Fees & Interest: How They Are Calculated,gst-late-fees-and-interest-how-they-are-calculated,,
Y,New,GST,GST Registration Cancellation & Revocation: Process & Grounds,gst-registration-cancellation-and-revocation-process-and-grounds,,
Y,New,GST,Letter of Undertaking (LUT) for GST-Free Exports: How to File,letter-of-undertaking-lut-for-gst-free-exports-how-to-file,,
Y,New,GST,GST Audit: Applicability & What Auditors Check,gst-audit-applicability-and-what-auditors-check,,
Y,New,GST,"GST Notices & Show Cause: How to Respond (DRC-01, ASMT-10)",gst-notices-and-show-cause-how-to-respond-drc-01-asmt-10,,
Y,New,GST,GST for Freelancers & Consultants: Registration & Compliance,gst-for-freelancers-and-consultants-registration-and-compliance,,
Y,New,GST,GST for Restaurants & Hospitality: Rates & ITC Restrictions,gst-for-restaurants-and-hospitality-rates-and-itc-restrictions,,
Y,New,GST,GST HSN/SAC Code Guide: How to Classify Goods & Services,gst-hsn-sac-code-guide-how-to-classify-goods-and-services,,
Y,New,GST,"GST Refund Process: Exports, Inverted Duty Structure & Timelines",gst-refund-process-exports-inverted-duty-structure-and-timelines,,
Y,New,GST,GST on Rent: When Landlords and Tenants Must Register,gst-on-rent-when-landlords-and-tenants-must-register,,
Y,New,GST,Composition Scheme vs Regular GST: Which Is Better for Small Business,composition-scheme-vs-regular-gst-which-is-better-for-small-business,,
Y,New,GST,GST Registration for NRIs & Foreign Companies (Non-Resident Taxable Person),gst-registration-for-nris-and-foreign-companies-non-resident-taxable-p,,
Y,New,GST,GST Amnesty Scheme & Late Return Filing Relief,gst-amnesty-scheme-and-late-return-filing-relief,,
Y,New,GST,GST on Digital Services & OIDAR: Compliance for SaaS Businesses,gst-on-digital-services-and-oidar-compliance-for-saas-businesses,,
Y,New,GST,Place of Supply Rules Under GST: Intra-State vs Inter-State,place-of-supply-rules-under-gst-intra-state-vs-inter-state,,
Y,New,GST,GST on Import of Services: RCM & Compliance,gst-on-import-of-services-rcm-and-compliance,,
Y,New,GST,GST on SEZ Supplies: Zero-Rated Treatment Explained,gst-on-sez-supplies-zero-rated-treatment-explained,,
Y,New,GST,GST Registration Threshold Limits: State-Wise Comparison,gst-registration-threshold-limits-state-wise-comparison,,
Y,New,GST,GST Compliance Simplification Schemes for MSMEs,gst-compliance-simplification-schemes-for-msmes,,
Y,New,GST,Credit Note & Debit Note Under GST: When and How to Issue,credit-note-and-debit-note-under-gst-when-and-how-to-issue,,
Y,New,GST,"GST on Job Work: Rate, ITC & Compliance",gst-on-job-work-rate-itc-and-compliance,,
Y,New,GST,GST Return Due Dates Calendar (FY 2026-27),gst-return-due-dates-calendar-fy-2026-27,,
Y,New,GST,GST Demand & Recovery Proceedings: What Triggers Them,gst-demand-and-recovery-proceedings-what-triggers-them,,
Y,New,GST,GSTN Portal Errors & Common Filing Issues: Troubleshooting Guide,gstn-portal-errors-and-common-filing-issues-troubleshooting-guide,,
Y,New,GST,GST on Intellectual Property & Royalty Transactions,gst-on-intellectual-property-and-royalty-transactions,,
Y,New,GST,Casual Taxable Person Under GST: Registration & Compliance,casual-taxable-person-under-gst-registration-and-compliance,,
Y,New,GST,GST Appeal Process: First Appellate Authority to GSTAT,gst-appeal-process-first-appellate-authority-to-gstat,,
Y,New,GST,QRMP Scheme Under GST: Quarterly Filing for Small Taxpayers,qrmp-scheme-under-gst-quarterly-filing-for-small-taxpayers,,
Y,New,GST,GST Compliance Rating & E-Invoice Threshold Update FY 2026-27,gst-compliance-rating-and-e-invoice-threshold-update-fy-2026-27,,
Y,New,Income Tax,Income Tax Slabs FY 2026-27: Old Regime vs New Regime Comparison,income-tax-slabs-fy-2026-27-old-regime-vs-new-regime-comparison,,
Y,New,Income Tax,How to File ITR Online: Step-by-Step Guide for Salaried Individuals,how-to-file-itr-online-step-by-step-guide-for-salaried-individuals,,
Y,New,Income Tax,Which ITR Form Should You File? ITR-1 vs ITR-2 vs ITR-3 vs ITR-4,which-itr-form-should-you-file-itr-1-vs-itr-2-vs-itr-3-vs-itr-4,,
Y,New,Income Tax,Form 16 Explained: How to Read It and File Your ITR,form-16-explained-how-to-read-it-and-file-your-itr,,
Y,New,Income Tax,House Rent Allowance (HRA) Exemption: Calculation & Documents Needed,house-rent-allowance-hra-exemption-calculation-and-documents-needed,,
Y,New,Income Tax,Section 80C Deductions: Complete List of Eligible Investments,section-80c-deductions-complete-list-of-eligible-investments,,
Y,New,Income Tax,Section 80D: Health Insurance Premium Deduction Explained,section-80d-health-insurance-premium-deduction-explained,,
Y,New,Income Tax,Income From House Property: Self-Occupied vs Let-Out Taxation,income-from-house-property-self-occupied-vs-let-out-taxation,,
Y,New,Income Tax,Capital Gains Tax on Property Sale for Residents: LTCG & STCG Rates,capital-gains-tax-on-property-sale-for-residents-ltcg-and-stcg-rates,,
Y,New,Income Tax,Capital Gains Tax on Shares & Mutual Funds: Equity vs Debt Taxation,capital-gains-tax-on-shares-and-mutual-funds-equity-vs-debt-taxation,,
Y,New,Income Tax,Clubbing of Income: When Spouse or Minor Income Is Taxed to You,clubbing-of-income-when-spouse-or-minor-income-is-taxed-to-you,,
Y,New,Income Tax,"HUF Taxation in India: Formation, Benefits & Filing",huf-taxation-in-india-formation-benefits-and-filing,,
Y,New,Income Tax,Income Tax on Cryptocurrency & Virtual Digital Assets (VDA),income-tax-on-cryptocurrency-and-virtual-digital-assets-vda,,
Y,New,Income Tax,"Tax on Lottery, Game Shows & Online Gaming Winnings (Section 194BA)",tax-on-lottery-game-shows-and-online-gaming-winnings-section-194ba,,TO VERIFY before drafting
Y,New,Income Tax,"Section 56(2)(x): Tax on Gifts Received Above Rs 50,000",section-56-2-x-tax-on-gifts-received-above-rs-50-000,note: check overlap with existing NRI Gift & Inheritance Tax post; frame this one as resident-focused,Section 92
Y,New,Income Tax,"Advance Tax: Who Must Pay, Due Dates & Interest for Default",advance-tax-who-must-pay-due-dates-and-interest-for-default,,
Y,New,Income Tax,Income Tax Refund Status: How to Check & Common Delays,income-tax-refund-status-how-to-check-and-common-delays,,
Y,New,Income Tax,Rectification Under Section 154: Fixing Errors in Your ITR,rectification-under-section-154-fixing-errors-in-your-itr,,TO VERIFY before drafting
Y,New,Income Tax,"Income Tax Notices Explained: Section 143(1), 143(2) & 148",income-tax-notices-explained-section-143-1-143-2-and-148,,TO VERIFY before drafting
Y,New,Income Tax,Faceless Assessment Scheme: How It Works & What to Expect,faceless-assessment-scheme-how-it-works-and-what-to-expect,,
Y,New,Income Tax,Condonation of Delay in Filing ITR: When & How to Apply,condonation-of-delay-in-filing-itr-when-and-how-to-apply,,
Y,New,Income Tax,"Belated, Revised & Updated Returns: ITR-U Under Section 139(8A)",belated-revised-and-updated-returns-itr-u-under-section-139-8a,,TO VERIFY before drafting
Y,New,Income Tax,Presumptive Taxation Scheme Section 44AD: Eligibility & Benefits,presumptive-taxation-scheme-section-44ad-eligibility-and-benefits,,Section 58
Y,New,Income Tax,Presumptive Taxation for Professionals: Section 44ADA Explained,presumptive-taxation-for-professionals-section-44ada-explained,,Section 58
Y,New,Income Tax,Presumptive Taxation for Transporters: Section 44AE,presumptive-taxation-for-transporters-section-44ae,,Section 58
Y,New,Income Tax,TDS on Salary: Section 192 & Form 24Q Explained,tds-on-salary-section-192-and-form-24q-explained,,Section 392 (read with Section 402)
Y,New,Income Tax,TDS on Rent Under Section 194-IB: When Tenants Must Deduct,tds-on-rent-under-section-194-ib-when-tenants-must-deduct,,TO VERIFY before drafting
Y,New,Income Tax,TDS on Professional & Technical Fees: Section 194J Explained,tds-on-professional-and-technical-fees-section-194j-explained,,Section 393 (table item TBC)
Y,New,Income Tax,TDS on Contractor Payments: Section 194C Compliance Guide,tds-on-contractor-payments-section-194c-compliance-guide,,Section 393 (table item TBC)
Y,New,Income Tax,Section 194Q: TDS on Purchase of Goods Above Rs 50 Lakh,section-194q-tds-on-purchase-of-goods-above-rs-50-lakh,,TO VERIFY before drafting
Y,New,Income Tax,TCS on Sale of Goods: Section 206C(1H) Explained,tcs-on-sale-of-goods-section-206c-1h-explained,,TO VERIFY before drafting
Y,New,Income Tax,Standard Deduction for Salaried Employees: Current Limits,standard-deduction-for-salaried-employees-current-limits,,
Y,New,Income Tax,Tax Saving Investment Options Beyond Section 80C,tax-saving-investment-options-beyond-section-80c,,
Y,New,Income Tax,Income Tax on Freelancers & Gig Workers in India,income-tax-on-freelancers-and-gig-workers-in-india,,
Y,New,Income Tax,Section 87A Rebate: Zero Tax Up to This Income Limit,section-87a-rebate-zero-tax-up-to-this-income-limit,,Section 156
Y,New,Income Tax,Set-Off and Carry Forward of Losses Under Income Tax,set-off-and-carry-forward-of-losses-under-income-tax,,
Y,New,Income Tax,Section 43B(h): MSME Payment Disallowance Rules for Buyers,section-43b-h-msme-payment-disallowance-rules-for-buyers,,Section 37
Y,New,Tax Audit,Tax Audit Under Section 44AB: Turnover Limits & Applicability FY 2026-27,tax-audit-under-section-44ab-turnover-limits-and-applicability-fy-2026,,Section 63
Y,New,Tax Audit,Tax Audit Report Forms: 3CA vs 3CB vs 3CD Explained,tax-audit-report-forms-3ca-vs-3cb-vs-3cd-explained,,
Y,New,Tax Audit,Tax Audit vs Statutory Audit vs GST Audit: Key Differences,tax-audit-vs-statutory-audit-vs-gst-audit-key-differences,,
Y,New,Tax Audit,Due Date for Tax Audit Report Filing & Penalty for Delay,due-date-for-tax-audit-report-filing-and-penalty-for-delay,,
Y,New,Tax Audit,Who Needs a Tax Audit: Business vs Professional Turnover Thresholds,who-needs-a-tax-audit-business-vs-professional-turnover-thresholds,,
Y,New,Tax Audit,Books of Accounts Required Under Section 44AA,books-of-accounts-required-under-section-44aa,,Section 62
Y,New,Tax Audit,Income Tax Scrutiny Assessment: What Triggers It & How to Respond,income-tax-scrutiny-assessment-what-triggers-it-and-how-to-respond,,
Y,New,Tax Audit,Best Judgment Assessment Under Section 144: What It Means,best-judgment-assessment-under-section-144-what-it-means,,TO VERIFY before drafting
Y,New,Tax Audit,Reassessment Notice Under Section 148: Time Limits & Response,reassessment-notice-under-section-148-time-limits-and-response,,TO VERIFY before drafting
Y,New,Tax Audit,Income Tax Appeal Process: CIT(Appeals) to ITAT,income-tax-appeal-process-cit-appeals-to-itat,,
Y,New,Tax Audit,Faceless Appeal Scheme: How Income Tax Appeals Work Now,faceless-appeal-scheme-how-income-tax-appeals-work-now,,
Y,New,Tax Audit,Penalty for Under-Reporting & Misreporting of Income,penalty-for-under-reporting-and-misreporting-of-income,,
Y,New,Tax Audit,Search & Seizure Under Income Tax: What Happens During a Raid,search-and-seizure-under-income-tax-what-happens-during-a-raid,,
Y,New,Tax Audit,Survey Under Section 133A: Rights & Obligations of Taxpayers,survey-under-section-133a-rights-and-obligations-of-taxpayers,,TO VERIFY before drafting
Y,New,Tax Audit,Stay of Demand: How to Apply When You Dispute a Tax Assessment,stay-of-demand-how-to-apply-when-you-dispute-a-tax-assessment,,
Y,New,Tax Audit,Vivad Se Vishwas Scheme: Settling Pending Tax Disputes,vivad-se-vishwas-scheme-settling-pending-tax-disputes,,
Y,New,Tax Audit,Statement of Financial Transactions (SFT): High-Value Transaction Reporting,statement-of-financial-transactions-sft-high-value-transaction-reporti,,
Y,New,Tax Audit,Annual Information Statement (AIS) vs Form 26AS: What Is the Difference,annual-information-statement-ais-vs-form-26as-what-is-the-difference,,
Y,New,Tax Audit,Tax Audit for E-Commerce Sellers & Digital Businesses,tax-audit-for-e-commerce-sellers-and-digital-businesses,,
Y,New,Tax Audit,Prosecution Under Income Tax Act: When Non-Compliance Becomes Criminal,prosecution-under-income-tax-act-when-non-compliance-becomes-criminal,,
Y,New,Corporate Tax & Compliance,Corporate Tax Rates in India: Domestic Company vs New Manufacturing Regime,corporate-tax-rates-in-india-domestic-company-vs-new-manufacturing-reg,,
Y,New,Corporate Tax & Compliance,MAT (Minimum Alternate Tax) vs AMT: Applicability & Computation,mat-minimum-alternate-tax-vs-amt-applicability-and-computation,,
Y,New,Corporate Tax & Compliance,Dividend Distribution & Taxation: Company and Shareholder Perspective,dividend-distribution-and-taxation-company-and-shareholder-perspective,,
Y,New,Corporate Tax & Compliance,Buyback of Shares: Tax Implications for Companies & Shareholders,buyback-of-shares-tax-implications-for-companies-and-shareholders,,
Y,New,Corporate Tax & Compliance,Statutory Audit Requirements for Private Limited Companies,statutory-audit-requirements-for-private-limited-companies,,
Y,New,Corporate Tax & Compliance,Board Meeting & AGM Compliance Calendar for Private Limited Companies,board-meeting-and-agm-compliance-calendar-for-private-limited-companie,,
Y,New,Corporate Tax & Compliance,Related Party Transactions Under Companies Act: Disclosure & Approval,related-party-transactions-under-companies-act-disclosure-and-approval,,
Y,New,Corporate Tax & Compliance,Director Responsibility & Liability Under the Companies Act,director-responsibility-and-liability-under-the-companies-act,,
Y,New,Corporate Tax & Compliance,Winding Up / Strike Off a Private Limited Company: Process & Timeline,winding-up-strike-off-a-private-limited-company-process-and-timeline,,
Y,New,Corporate Tax & Compliance,Secretarial Audit: Applicability & What It Covers,secretarial-audit-applicability-and-what-it-covers,,
Y,New,Corporate Tax & Compliance,Charge Creation & Satisfaction (CHG Forms): ROC Compliance Guide,charge-creation-and-satisfaction-chg-forms-roc-compliance-guide,,
Y,New,Corporate Tax & Compliance,Related Party Loans & Section 185/186 Compliance,related-party-loans-and-section-185-186-compliance,,
Y,New,Corporate Tax & Compliance,XBRL Filing Requirements for Companies,xbrl-filing-requirements-for-companies,,
Y,New,Corporate Tax & Compliance,Corporate Social Responsibility (CSR) Compliance & Applicability,corporate-social-responsibility-csr-compliance-and-applicability,,
Y,New,Corporate Tax & Compliance,Significant Beneficial Owner (SBO) Reporting Requirements,significant-beneficial-owner-sbo-reporting-requirements,,
Y,New,MSME & Registrations,"Udyam Registration for MSMEs: Process, Benefits & Eligibility",udyam-registration-for-msmes-process-benefits-and-eligibility,,
Y,New,MSME & Registrations,MSME Payment Delay Rules: The 45-Day Rule Under Section 43B(h),msme-payment-delay-rules-the-45-day-rule-under-section-43b-h,note: pairs with the Income Tax 43B(h) post; consider merging if both approved,Section 37
Y,New,MSME & Registrations,Shop and Establishment Registration: State-Wise Requirements,shop-and-establishment-registration-state-wise-requirements,,
Y,New,MSME & Registrations,Import Export Code (IEC): Registration Process & Benefits,import-export-code-iec-registration-process-and-benefits,,
Y,New,MSME & Registrations,Professional Tax Registration & Compliance in Maharashtra,professional-tax-registration-and-compliance-in-maharashtra,,
Y,New,MSME & Registrations,Trademark Registration for Startups: Process & Timeline,trademark-registration-for-startups-process-and-timeline,,
Y,New,MSME & Registrations,Startup India Registration vs DPIIT Recognition: What Is the Difference,startup-india-registration-vs-dpiit-recognition-what-is-the-difference,note: check overlap with existing DPIIT Registration post,
Y,New,MSME & Registrations,MSME Udyam vs Startup India Recognition: Which Benefits Apply,msme-udyam-vs-startup-india-recognition-which-benefits-apply,,
Y,New,MSME & Registrations,FSSAI Registration for Food Businesses: When Required,fssai-registration-for-food-businesses-when-required,,
Y,New,MSME & Registrations,Trade License Requirements for Businesses in India,trade-license-requirements-for-businesses-in-india,,
Y,New,Trusts & NGOs,Section 12A & 80G Registration for NGOs & Charitable Trusts,section-12a-and-80g-registration-for-ngos-and-charitable-trusts,,Section 133
Y,New,Trusts & NGOs,Trust vs Society vs Section 8 Company: Choosing the Right Structure for an NGO,trust-vs-society-vs-section-8-company-choosing-the-right-structure-for,,
